iter	Passed	Remaining
479	685	742
480	686	740
481	687	739
482	688	737
483	690	735
484	691	734
485	693	733
486	695	732
487	696	730
488	697	729
489	698	727
490	699	725
491	701	723
492	702	722
493	703	720
494	704	719
495	706	717
496	707	716
497	709	715
498	710	713
499	711	711
500	712	710
501	714	708
502	715	706
503	716	705
504	717	703
505	718	701
506	720	700
507	721	699
508	723	697
509	725	696
510	726	695
511	727	693
512	728	691
513	729	690
514	731	688
515	732	686
516	733	685
517	734	683
518	735	682
519	737	680
520	739	679
521	740	678
522	742	676
523	743	675
524	744	673
525	745	672
526	746	670
527	748	668
528	749	667
529	750	665
530	751	664
531	753	662
532	754	661
533	756	659
534	757	658
535	758	656
536	759	654
537	760	653
538	762	651
539	763	650
540	764	648
541	765	647
542	767	645
543	768	644
544	770	642
545	771	641
546	773	640
547	774	639
548	776	637
549	777	635
550	778	634
551	779	632
552	780	631
553	782	629
554	784	628
555	786	627
556	787	626
557	789	625
558	791	624
559	792	622
560	794	621
561	795	619
562	796	618
563	798	616
564	799	615
565	801	614
566	803	613
567	804	611
568	805	610
569	806	608
570	807	606
571	808	605
572	810	603
573	811	602
574	812	600
575	814	599
576	816	598
577	817	596
578	818	595
579	820	593
580	821	592
581	822	590
582	823	589
583	824	587
584	826	586
585	827	584
586	829	583
587	830	582
588	832	580
589	833	578
590	834	577
591	835	575
592	836	574
593	837	572
594	839	571
595	841	570
596	843	569
597	845	568
598	846	566
599	848	565
600	849	564
601	850	562
602	852	561
603	853	559
604	855	558
605	857	557
606	859	556
607	860	554
608	862	554
609	865	553
610	867	552
611	868	550
612	870	549
613	871	548
614	873	547
615	875	545
616	877	544
617	879	543
618	881	542
619	882	540
620	884	539
621	885	538
622	886	536
623	888	535
624	890	534
625	892	533
626	893	531
627	894	530
628	896	528
629	897	527
630	898	525
631	900	524
632	901	522
633	903	521
634	905	520
635	907	519
636	908	517
637	910	516
638	911	514
639	912	513
640	914	512
641	915	510
642	919	510
643	923	510
644	925	509
645	926	507
646	927	506
647	929	504
648	930	503
649	932	501
650	933	500
651	935	499
652	936	497
653	938	496
654	940	495
655	941	493
656	942	492
657	944	490
658	945	489
659	946	487
660	948	486
661	949	484
662	951	483
663	953	482
664	955	481
665	956	479
666	957	478
667	959	476
668	960	475
669	961	473
670	963	472
671	964	470
672	966	469
673	967	468
674	969	466
675	971	465
676	973	464
677	974	462
678	976	461
679	977	460
680	979	458
681	981	457
682	983	456
683	984	454
684	985	453
685	987	451
686	988	450
687	989	448
688	991	447
689	992	445
690	994	444
691	996	443
692	998	442
693	999	440
694	1000	439
695	1002	437
696	1003	436
697	1004	434
698	1006	433
699	1007	431
700	1009	430
701	1011	429
702	1013	428
703	1014	426
704	1016	425
705	1017	423
706	1018	422
707	1020	420
708	1021	419
709	1023	418
710	1025	416
711	1027	415
712	1029	414
713	1030	412
714	1032	411
715	1033	409
716	1034	408
717	1036	407
718	1037	405
719	1039	404
720	1041	403
721	1043	401
722	1045	400
723	1047	399
724	1048	397
725	1049	396
726	1051	394
727	1052	393
728	1053	391
729	1055	390
730	1057	389
731	1058	387
732	1060	386
733	1062	385
734	1064	383
735	1066	382
736	1067	380
737	1069	379
738	1070	378
739	1072	376
740	1074	375
741	1075	374
742	1077	372
743	1078	371
744	1079	369
745	1081	368
746	1082	366
747	1084	365
748	1085	363
749	1087	362
750	1089	361
751	1091	359
752	1092	358
753	1093	356
754	1095	355
755	1096	353
756	1097	352
757	1099	351
758	1101	349
759	1103	348
760	1105	347
761	1106	345
762	1107	344
763	1109	342
764	1110	341
765	1111	339
766	1113	338
767	1114	336
768	1116	335
769	1117	333
770	1119	332
771	1121	331
772	1122	329
773	1124	328
774	1125	326
775	1126	325
776	1128	323
777	1129	322
778	1131	321
779	1133	319
780	1135	318
781	1136	316
782	1138	315
783	1139	313
784	1140	312
785	1142	311
786	1143	309
787	1145	308
788	1146	306
789	1147	305
790	1149	303
791	1151	302
792	1153	301
793	1155	299
794	1156	298
795	1158	296
796	1159	295
797	1161	293
798	1162	292
799	1164	291
800	1166	289
801	1167	288
802	1169	286
803	1170	285
804	1172	283
805	1173	282
806	1174	280
807	1176	279
808	1178	278
809	1180	276
810	1181	275
811	1183	273
812	1184	272
813	1185	270
814	1187	269
815	1188	268
816	1189	266
817	1191	265
818	1193	263
819	1195	262
820	1196	260
821	1197	259
822	1199	257
823	1200	256
824	1201	254
825	1203	253
826	1204	252
827	1206	250
828	1208	249
829	1210	247
830	1211	246
831	1213	244
832	1214	243
833	1215	241
834	1217	240
835	1218	239
836	1220	237
837	1222	236
838	1224	235
839	1226	233
840	1227	232
841	1228	230
842	1230	229
843	1231	227
844	1233	226
845	1235	224
846	1236	223
847	1238	222
848	1240	220
849	1242	219
